InsideOutside2: 0 contains-candidates (no containment structure in this task)
InsideOutside3: 0 contains-candidates (no containment structure in this task)
InsideOutside9: 0 contains-candidates (no containment structure in this task)

7/10 tasks have a contains-candidate: ['InsideOutside1', 'InsideOutside10', 'InsideOutside4', 'InsideOutside5', 'InsideOutside6', 'InsideOutside7', 'InsideOutside8']

105 (held_out_task, source_pair) blend+coherence checks run

held_out         source_a         source_b         degenerate  matched/total 
InsideOutside1   InsideOutside10  InsideOutside4   False       1/12
InsideOutside1   InsideOutside10  InsideOutside5   False       0/12
InsideOutside1   InsideOutside10  InsideOutside6   False       6/12
InsideOutside1   InsideOutside10  InsideOutside7   False       6/12
InsideOutside1   InsideOutside10  InsideOutside8   False       1/12
InsideOutside1   InsideOutside4   InsideOutside5   False       6/12
InsideOutside1   InsideOutside4   InsideOutside6   False       6/12
InsideOutside1   InsideOutside4   InsideOutside7   False       1/12
InsideOutside1   InsideOutside4   InsideOutside8   False       1/12
InsideOutside1   InsideOutside5   InsideOutside6   False       6/12
InsideOutside1   InsideOutside5   InsideOutside7   False       0/12
InsideOutside1   InsideOutside5   InsideOutside8   False       6/12
InsideOutside1   InsideOutside6   InsideOutside7   False       6/12
InsideOutside1   InsideOutside6   InsideOutside8   False       6/12
InsideOutside1   InsideOutside7   InsideOutside8   False       0/12
InsideOutside10  InsideOutside1   InsideOutside4   False       5/10
InsideOutside10  InsideOutside1   InsideOutside5   False       1/10
InsideOutside10  InsideOutside1   InsideOutside6   False       5/10
InsideOutside10  InsideOutside1   InsideOutside7   False       0/10
InsideOutside10  InsideOutside1   InsideOutside8   False       0/10
InsideOutside10  InsideOutside4   InsideOutside5   False       5/10
InsideOutside10  InsideOutside4   InsideOutside6   False       5/10
InsideOutside10  InsideOutside4   InsideOutside7   False       0/10
InsideOutside10  InsideOutside4   InsideOutside8   False       1/10
InsideOutside10  InsideOutside5   InsideOutside6   False       5/10
InsideOutside10  InsideOutside5   InsideOutside7   False       0/10
InsideOutside10  InsideOutside5   InsideOutside8   False       5/10
InsideOutside10  InsideOutside6   InsideOutside7   False       5/10
InsideOutside10  InsideOutside6   InsideOutside8   False       5/10
InsideOutside10  InsideOutside7   InsideOutside8   False       0/10
InsideOutside4   InsideOutside1   InsideOutside10  False       2/14
InsideOutside4   InsideOutside1   InsideOutside5   False       2/14
InsideOutside4   InsideOutside1   InsideOutside6   False       14/14
InsideOutside4   InsideOutside1   InsideOutside7   False       0/14
InsideOutside4   InsideOutside1   InsideOutside8   False       0/14
InsideOutside4   InsideOutside10  InsideOutside5   False       0/14
InsideOutside4   InsideOutside10  InsideOutside6   False       14/14
InsideOutside4   InsideOutside10  InsideOutside7   False       14/14
InsideOutside4   InsideOutside10  InsideOutside8   False       4/14
InsideOutside4   InsideOutside5   InsideOutside6   False       14/14
InsideOutside4   InsideOutside5   InsideOutside7   False       6/14
InsideOutside4   InsideOutside5   InsideOutside8   False       14/14
InsideOutside4   InsideOutside6   InsideOutside7   False       14/14
InsideOutside4   InsideOutside6   InsideOutside8   False       14/14
InsideOutside4   InsideOutside7   InsideOutside8   False       0/14
InsideOutside5   InsideOutside1   InsideOutside10  False       3/12
InsideOutside5   InsideOutside1   InsideOutside4   False       7/12
InsideOutside5   InsideOutside1   InsideOutside6   False       7/12
InsideOutside5   InsideOutside1   InsideOutside7   False       0/12
InsideOutside5   InsideOutside1   InsideOutside8   False       0/12
InsideOutside5   InsideOutside10  InsideOutside4   False       3/12
InsideOutside5   InsideOutside10  InsideOutside6   False       7/12
InsideOutside5   InsideOutside10  InsideOutside7   False       7/12
InsideOutside5   InsideOutside10  InsideOutside8   False       3/12
InsideOutside5   InsideOutside4   InsideOutside6   False       7/12
InsideOutside5   InsideOutside4   InsideOutside7   False       1/12
InsideOutside5   InsideOutside4   InsideOutside8   False       3/12
InsideOutside5   InsideOutside6   InsideOutside7   False       7/12
InsideOutside5   InsideOutside6   InsideOutside8   False       7/12
InsideOutside5   InsideOutside7   InsideOutside8   False       0/12
InsideOutside6   InsideOutside1   InsideOutside10  False       1/10
InsideOutside6   InsideOutside1   InsideOutside4   False       4/10
InsideOutside6   InsideOutside1   InsideOutside5   False       1/10
InsideOutside6   InsideOutside1   InsideOutside7   False       0/10
InsideOutside6   InsideOutside1   InsideOutside8   False       0/10
InsideOutside6   InsideOutside10  InsideOutside4   False       2/10
InsideOutside6   InsideOutside10  InsideOutside5   False       0/10
InsideOutside6   InsideOutside10  InsideOutside7   False       4/10
InsideOutside6   InsideOutside10  InsideOutside8   False       2/10
InsideOutside6   InsideOutside4   InsideOutside5   False       4/10
InsideOutside6   InsideOutside4   InsideOutside7   False       0/10
InsideOutside6   InsideOutside4   InsideOutside8   False       2/10
InsideOutside6   InsideOutside5   InsideOutside7   False       0/10
InsideOutside6   InsideOutside5   InsideOutside8   False       4/10
InsideOutside6   InsideOutside7   InsideOutside8   False       0/10
InsideOutside7   InsideOutside1   InsideOutside10  False       0/12
InsideOutside7   InsideOutside1   InsideOutside4   False       6/12
InsideOutside7   InsideOutside1   InsideOutside5   False       0/12
InsideOutside7   InsideOutside1   InsideOutside6   False       6/12
InsideOutside7   InsideOutside1   InsideOutside8   False       0/12
InsideOutside7   InsideOutside10  InsideOutside4   False       0/12
InsideOutside7   InsideOutside10  InsideOutside5   False       0/12
InsideOutside7   InsideOutside10  InsideOutside6   False       6/12
InsideOutside7   InsideOutside10  InsideOutside8   False       0/12
InsideOutside7   InsideOutside4   InsideOutside5   False       6/12
InsideOutside7   InsideOutside4   InsideOutside6   False       6/12
InsideOutside7   InsideOutside4   InsideOutside8   False       0/12
InsideOutside7   InsideOutside5   InsideOutside6   False       6/12
InsideOutside7   InsideOutside5   InsideOutside8   False       6/12
InsideOutside7   InsideOutside6   InsideOutside8   False       6/12
InsideOutside8   InsideOutside1   InsideOutside10  False       1/10
InsideOutside8   InsideOutside1   InsideOutside4   False       4/10
InsideOutside8   InsideOutside1   InsideOutside5   False       1/10
InsideOutside8   InsideOutside1   InsideOutside6   False       4/10
InsideOutside8   InsideOutside1   InsideOutside7   False       0/10
InsideOutside8   InsideOutside10  InsideOutside4   False       1/10
InsideOutside8   InsideOutside10  InsideOutside5   False       0/10
InsideOutside8   InsideOutside10  InsideOutside6   False       4/10
InsideOutside8   InsideOutside10  InsideOutside7   False       4/10
InsideOutside8   InsideOutside4   InsideOutside5   False       4/10
InsideOutside8   InsideOutside4   InsideOutside6   False       4/10
InsideOutside8   InsideOutside4   InsideOutside7   False       1/10
InsideOutside8   InsideOutside5   InsideOutside6   False       4/10
InsideOutside8   InsideOutside5   InsideOutside7   False       1/10
InsideOutside8   InsideOutside6   InsideOutside7   False       4/10

--- summary ---
total blend+check runs: 105
degenerate blends: 0 (0%)
non-degenerate blends: 105
held-out grid match rate (non-degenerate blends only): 377/1200 (31%)

--- input vs output grid breakdown ---
input grids:  277/600 (46%)
output grids: 100/600 (17%)
